"trial","deckA","deckB","deckC","deckD","wins","losses","subjID","deck","net"
98,0,1,0,0,100,-1250,"03",2,-1150
99,0,0,0,1,50,0,"03",4,50
100,0,0,0,1,50,0,"03",4,50
101,1,0,0,0,100,0,"03",1,100
102,0,1,0,0,100,0,"03",2,100
103,0,1,0,0,100,0,"03",2,100
104,0,1,0,0,100,0,"03",2,100
105,0,1,0,0,100,0,"03",2,100
106,0,1,0,0,100,0,"03",2,100
107,0,1,0,0,100,0,"03",2,100
108,0,1,0,0,100,0,"03",2,100
109,0,0,1,0,50,-50,"03",3,0
110,0,1,0,0,100,0,"03",2,100
111,0,1,0,0,100,0,"03",2,100
112,0,1,0,0,100,0,"03",2,100
113,0,1,0,0,100,0,"03",2,100
114,0,1,0,0,100,0,"03",2,100
115,0,1,0,0,100,-1250,"03",2,-1150
116,1,0,0,0,100,-250,"03",1,-150
117,0,0,1,0,50,-50,"03",3,0
118,0,0,0,1,50,0,"03",4,50
119,0,1,0,0,100,0,"03",2,100
120,0,1,0,0,100,0,"03",2,100
121,0,1,0,0,100,0,"03",2,100
122,0,0,1,0,50,-50,"03",3,0
123,0,0,1,0,50,-50,"03",3,0
124,0,1,0,0,100,0,"03",2,100
125,0,0,0,1,50,0,"03",4,50
126,0,1,0,0,100,-1250,"03",2,-1150
127,0,1,0,0,100,0,"03",2,100
128,0,1,0,0,100,0,"03",2,100
129,0,1,0,0,100,0,"03",2,100
130,0,1,0,0,100,0,"03",2,100
131,1,0,0,0,100,-150,"03",1,-50
132,0,1,0,0,100,0,"03",2,100
133,1,0,0,0,100,0,"03",1,100
134,0,1,0,0,100,0,"03",2,100
135,1,0,0,0,100,-200,"03",1,-100
136,0,1,0,0,100,0,"03",2,100
137,0,1,0,0,100,0,"03",2,100
138,0,1,0,0,100,-1250,"03",2,-1150
139,0,1,0,0,100,0,"03",2,100
140,0,1,0,0,100,0,"03",2,100
141,0,1,0,0,100,0,"03",2,100
142,1,0,0,0,100,-350,"03",1,-250
143,0,1,0,0,100,0,"03",2,100
144,0,1,0,0,100,0,"03",2,100
145,0,0,1,0,50,-50,"03",3,0
146,0,1,0,0,100,0,"03",2,100
147,0,1,0,0,100,0,"03",2,100
148,0,1,0,0,100,0,"03",2,100
149,0,1,0,0,100,0,"03",2,100
150,1,0,0,0,100,0,"03",1,100
1,0,1,0,0,100,0,"04",2,100
2,0,1,0,0,100,0,"04",2,100
3,0,1,0,0,100,0,"04",2,100
4,0,1,0,0,100,0,"04",2,100
