trial	deck	gain	loss	subjID	net
92	2	130	-1500	121	-1370
93	1	120	-300	121	-180
94	3	40	-50	121	-10
95	4	65	0	121	65
96	1	150	-350	121	-200
97	2	120	0	121	120
98	3	60	0	121	60
99	4	80	0	121	80
100	1	110	0	121	110
1	2	100	0	122	100
2	4	50	0	122	50
3	3	50	0	122	50
4	2	80	0	122	80
5	3	60	0	122	60
6	4	40	0	122	40
7	2	110	0	122	110
8	2	120	0	122	120
9	1	100	0	122	100
10	3	40	-50	122	-10
11	4	45	0	122	45
12	2	90	0	122	90
13	2	100	0	122	100
14	4	45	0	122	45
15	1	120	0	122	120
16	1	80	-150	122	-70
17	2	90	0	122	90
18	4	55	0	122	55
19	3	55	0	122	55
20	2	120	0	122	120
21	2	110	-1250	122	-1140
22	3	55	-50	122	5
23	4	60	0	122	60
24	1	90	0	122	90
25	1	110	-300	122	-190
26	2	80	0	122	80
27	3	45	0	122	45
28	2	110	0	122	110
29	3	50	-50	122	0
30	4	40	0	122	40
31	2	100	0	122	100
32	1	100	0	122	100
33	1	80	-200	122	-120
34	3	45	0	122	45
35	4	55	0	122	55
36	3	60	-50	122	10
37	4	50	0	122	50
38	4	60	-250	122	-190
39	3	40	-50	122	-10
40	2	90	0	122	90
41	2	130	-1500	122	-1370
42	4	55	0	122	55
43	1	120	0	122	120
44	3	55	0	122	55
45	4	40	0	122	40
46	1	110	-250	122	-140
47	2	120	0	122	120
48	3	55	-25	122	30
49	4	60	0	122	60
50	3	65	-75	122	-10
51	2	130	0	122	130
52	1	90	-350	122	-260
53	2	110	0	122	110
54	4	40	0	122	40
55	3	45	0	122	45
56	3	70	-25	122	45
57	3	40	0	122	40
58	4	45	0	122	45
59	2	90	0	122	90
60	2	100	0	122	100
61	2	120	0	122	120
62	3	50	-25	122	25
63	4	55	0	122	55
64	4	65	0	122	65
65	4	70	0	122	70
66	1	110	0	122	110
67	3	60	-75	122	-15
68	1	130	-350	122	-220
69	2	120	-1750	122	-1630
70	4	50	0	122	50
71	3	70	0	122	70
72	4	70	-275	122	-205
73	2	110	0	122	110
74	2	140	0	122	140
75	2	130	0	122	130
76	3	40	-50	122	-10
77	4	60	0	122	60
78	4	55	0	122	55
79	1	90	0	122	90
80	1	100	-250	122	-150
81	2	100	0	122	100
82	2	110	0	122	110
83	4	65	0	122	65
84	3	60	0	122	60
85	1	120	-200	122	-80
86	4	80	0	122	80
87	4	40	0	122	40
88	2	120	0	122	120
89	3	65	-25	122	40
90	1	110	0	122	110
91	4	80	0	122	80
92	3	55	0	122	55
93	4	40	0	122	40
94	3	80	-50	122	30
95	1	90	-300	122	-210
96	4	65	0	122	65
97	3	40	-25	122	15
98	4	55	-300	122	-245
99	2	120	0	122	120
100	3	60	-50	122	10
1	2	100	0	123	100
2	2	80	0	123	80
3	3	50	0	123	50
4	2	110	0	123	110
5	1	100	0	123	100
6	4	50	0	123	50
7	4	40	0	123	40
8	2	120	0	123	120
9	3	60	0	123	60
10	1	120	0	123	120
11	2	90	0	123	90
12	1	80	-150	123	-70
13	1	90	0	123	90
14	1	110	-300	123	-190
15	2	100	0	123	100
16	2	90	0	123	90
17	3	40	-50	123	-10
18	4	45	0	123	45
19	2	120	0	123	120
20	2	110	-1250	123	-1140
21	1	100	0	123	100
22	1	80	-200	123	-120
23	2	80	0	123	80
24	3	55	0	123	55
25	3	55	-50	123	5
26	4	45	0	123	45
27	4	55	0	123	55
28	2	110	0	123	110
29	2	100	0	123	100
30	2	90	0	123	90
31	2	130	-1500	123	-1370
32	1	120	0	123	120
33	1	110	-250	123	-140
34	3	45	0	123	45
35	3	50	-50	123	0
36	2	120	0	123	120
37	2	130	0	123	130
38	2	110	0	123	110
39	2	90	0	123	90
40	4	60	0	123	60
41	4	40	0	123	40
42	2	100	0	123	100
43	4	55	0	123	55
44	4	50	0	123	50
45	2	120	0	123	120
46	1	90	-350	123	-260
47	2	120	-1750	123	-1630
48	3	45	0	123	45
49	3	60	-50	123	10
50	3	40	-50	123	-10
51	2	110	0	123	110
52	2	140	0	123	140
53	2	130	0	123	130
54	4	60	-250	123	-190
55	2	100	0	123	100
56	1	110	0	123	110
57	2	110	0	123	110
58	3	55	0	123	55
59	4	55	0	123	55
60	2	120	0	123	120
61	1	130	-350	123	-220
62	2	120	0	123	120
63	3	55	-25	123	30
64	2	140	0	123	140
65	4	40	0	123	40
66	4	60	0	123	60
67	4	40	0	123	40
68	4	45	0	123	45
69	4	55	0	123	55
70	2	110	0	123	110
71	2	130	0	123	130
72	3	65	-75	123	-10
73	3	45	0	123	45
74	3	70	-25	123	45
75	3	40	0	123	40
76	4	65	0	123	65
77	2	140	-2000	123	-1860
78	4	70	0	123	70
79	4	50	0	123	50
80	4	70	-275	123	-205
81	4	60	0	123	60
82	1	90	0	123	90
83	2	120	0	123	120
84	3	50	-25	123	25
85	4	55	0	123	55
86	4	65	0	123	65
87	2	110	0	123	110
88	2	130	0	123	130
89	4	80	0	123	80
90	2	150	0	123	150
91	4	40	0	123	40
92	2	110	0	123	110
93	1	100	-250	123	-150
94	3	60	-75	123	-15
95	4	80	0	123	80
96	4	40	0	123	40
97	4	65	0	123	65
98	2	150	0	123	150
99	2	120	0	123	120
100	3	70	0	123	70
1	2	100	0	124	100
2	3	50	0	124	50
3	3	60	0	124	60
4	3	40	-50	124	-10
5	2	80	0	124	80
6	4	50	0	124	50
7	1	100	0	124	100
8	4	40	0	124	40
9	2	110	0	124	110
10	2	120	0	124	120
11	1	120	0	124	120
12	4	45	0	124	45
13	3	55	0	124	55
14	1	80	-150	124	-70
15	3	55	-50	124	5
16	4	45	0	124	45
17	4	55	0	124	55
18	1	90	0	124	90
19	4	60	0	124	60
20	4	40	0	124	40
21	4	55	0	124	55
22	1	110	-300	124	-190
23	4	50	0	124	50
24	4	60	-250	124	-190
25	2	90	0	124	90
26	3	45	0	124	45
27	1	100	0	124	100
28	4	55	0	124	55
29	4	40	0	124	40
30	3	50	-50	124	0
