trial	deck	gain	loss	subjID	net
63	4	55	0	156	55
64	2	140	0	156	140
65	3	70	-25	156	45
66	1	130	-350	156	-220
67	2	130	0	156	130
68	4	65	0	156	65
69	3	40	0	156	40
70	2	100	0	156	100
71	4	70	0	156	70
72	2	110	0	156	110
73	4	50	0	156	50
74	2	120	0	156	120
75	4	70	-275	156	-205
76	2	120	0	156	120
77	3	50	-25	156	25
78	2	140	0	156	140
79	1	90	0	156	90
80	4	60	0	156	60
81	2	110	0	156	110
82	3	60	-75	156	-15
83	2	130	0	156	130
84	2	140	-2000	156	-1860
85	4	55	0	156	55
86	2	120	0	156	120
87	4	65	0	156	65
88	2	110	0	156	110
89	1	100	-250	156	-150
90	2	130	0	156	130
91	4	80	0	156	80
92	2	150	0	156	150
93	2	110	0	156	110
94	4	40	0	156	40
95	2	150	0	156	150
96	4	80	0	156	80
97	2	120	0	156	120
98	4	40	0	156	40
99	2	140	0	156	140
100	4	65	0	156	65
1	3	50	0	158	50
2	3	60	0	158	60
3	1	100	0	158	100
4	3	40	-50	158	-10
5	4	50	0	158	50
6	4	40	0	158	40
7	2	100	0	158	100
8	4	45	0	158	45
9	3	55	0	158	55
10	3	55	-50	158	5
11	1	120	0	158	120
12	1	80	-150	158	-70
13	4	45	0	158	45
14	4	55	0	158	55
15	1	90	0	158	90
16	2	80	0	158	80
17	3	45	0	158	45
18	1	110	-300	158	-190
19	1	100	0	158	100
20	4	60	0	158	60
21	4	40	0	158	40
22	2	110	0	158	110
23	1	80	-200	158	-120
24	3	50	-50	158	0
25	4	55	0	158	55
26	4	50	0	158	50
27	1	120	0	158	120
28	2	120	0	158	120
29	2	90	0	158	90
30	3	45	0	158	45
31	3	60	-50	158	10
32	1	110	-250	158	-140
33	1	90	-350	158	-260
34	2	100	0	158	100
35	4	60	-250	158	-190
36	3	40	-50	158	-10
37	1	110	0	158	110
38	1	130	-350	158	-220
39	2	90	0	158	90
40	2	120	0	158	120
41	3	55	0	158	55
42	3	55	-25	158	30
43	1	90	0	158	90
44	3	65	-75	158	-10
45	3	45	0	158	45
46	2	110	-1250	158	-1140
47	4	55	0	158	55
48	4	40	0	158	40
49	1	100	-250	158	-150
50	2	80	0	158	80
51	2	110	0	158	110
52	3	70	-25	158	45
53	4	60	0	158	60
54	4	40	0	158	40
55	4	45	0	158	45
56	2	100	0	158	100
57	4	55	0	158	55
58	3	40	0	158	40
59	3	50	-25	158	25
60	1	120	-200	158	-80
61	2	90	0	158	90
62	2	130	-1500	158	-1370
63	3	60	-75	158	-15
64	3	70	0	158	70
65	3	40	-50	158	-10
66	2	120	0	158	120
67	2	130	0	158	130
68	1	110	0	158	110
69	3	60	0	158	60
70	4	65	0	158	65
71	3	65	-25	158	40
72	3	55	0	158	55
73	2	110	0	158	110
74	3	80	-50	158	30
75	3	40	-25	158	15
76	4	70	0	158	70
77	3	60	-50	158	10
78	3	55	0	158	55
79	1	90	-300	158	-210
80	2	90	0	158	90
81	2	100	0	158	100
82	3	65	-25	158	40
83	3	40	-75	158	-35
84	4	50	0	158	50
85	2	120	0	158	120
86	3	80	-50	158	30
87	4	70	-275	158	-205
88	1	130	-150	158	-20
89	2	120	-1750	158	-1630
90	3	65	-25	158	40
91	3	75	0	158	75
92	4	60	0	158	60
93	4	55	0	158	55
94	2	110	0	158	110
95	3	55	-25	158	30
96	1	120	-250	158	-130
97	2	140	0	158	140
98	3	60	-25	158	35
99	2	130	0	158	130
100	1	100	0	158	100
1	3	50	0	159	50
2	2	100	0	159	100
3	4	50	0	159	50
4	2	80	0	159	80
5	3	60	0	159	60
6	1	100	0	159	100
7	2	110	0	159	110
8	4	40	0	159	40
9	1	120	0	159	120
10	3	40	-50	159	-10
11	2	120	0	159	120
12	4	45	0	159	45
13	1	80	-150	159	-70
14	3	55	0	159	55
15	1	90	0	159	90
16	4	45	0	159	45
17	2	90	0	159	90
18	1	110	-300	159	-190
19	2	100	0	159	100
20	3	55	-50	159	5
21	4	55	0	159	55
22	1	100	0	159	100
23	2	90	0	159	90
24	2	120	0	159	120
25	4	60	0	159	60
26	1	80	-200	159	-120
27	2	110	-1250	159	-1140
28	3	45	0	159	45
29	2	80	0	159	80
30	1	120	0	159	120
31	4	40	0	159	40
32	3	50	-50	159	0
33	1	110	-250	159	-140
34	1	90	-350	159	-260
35	1	110	0	159	110
36	2	110	0	159	110
37	4	55	0	159	55
38	3	45	0	159	45
39	1	130	-350	159	-220
40	3	60	-50	159	10
41	2	100	0	159	100
42	4	50	0	159	50
43	2	90	0	159	90
44	4	60	-250	159	-190
45	3	40	-50	159	-10
46	1	90	0	159	90
47	1	100	-250	159	-150
48	2	130	-1500	159	-1370
49	2	120	0	159	120
50	3	55	0	159	55
51	3	55	-25	159	30
52	3	65	-75	159	-10
53	1	120	-200	159	-80
54	2	130	0	159	130
55	4	55	0	159	55
56	4	40	0	159	40
57	3	45	0	159	45
58	2	110	0	159	110
59	1	110	0	159	110
60	1	90	-300	159	-210
61	2	90	0	159	90
62	3	70	-25	159	45
63	4	60	0	159	60
64	4	40	0	159	40
65	1	130	-150	159	-20
66	1	120	-250	159	-130
67	2	100	0	159	100
68	3	40	0	159	40
69	4	45	0	159	45
70	1	100	0	159	100
71	2	120	0	159	120
72	4	55	0	159	55
73	1	120	-250	159	-130
74	2	120	-1750	159	-1630
75	3	50	-25	159	25
76	4	65	0	159	65
77	1	140	-300	159	-160
78	2	110	0	159	110
79	3	60	-75	159	-15
80	1	110	0	159	110
81	1	110	-350	159	-240
82	4	70	0	159	70
83	2	140	0	159	140
84	3	70	0	159	70
85	1	100	0	159	100
86	4	50	0	159	50
87	2	130	0	159	130
88	2	100	0	159	100
89	1	120	-200	159	-80
90	3	40	-50	159	-10
91	2	110	0	159	110
92	2	120	0	159	120
93	4	70	-275	159	-205
94	1	130	-250	159	-120
95	1	110	-150	159	-40
96	2	120	0	159	120
97	3	60	0	159	60
98	4	60	0	159	60
99	1	140	-250	159	-110
100	2	140	0	159	140
1	2	100	0	162	100
2	1	100	0	162	100
3	3	50	0	162	50
4	2	80	0	162	80
5	4	50	0	162	50
